Template Content,Template Category
"Order Confirmed - On Hold
Your order is currently on hold. We'll notify you with the delivery date as soon as it resumes processing
.
Order ID: {{1}}
If you have any queries, write to us at care@thesleepcompany.in",Utility
"Order In-Transit !
Your order is on your way to you Your order is in transit: Sit back and relax. We are working with the courier partner to make sure it reaches you on time. Order ID:{{1}}
Items: {{2}}
Estimated Delivery Date {{3}}",Utility
"Order In-Processing !
Our team is processing your order - we are working tirelessly to make sure it reaches to you on time. Order ID:{{1}}
Items: {{2}}
Estimated Delivery Date {{3}}",Utility
"Order under production!
Your order is under production. We're crafting it with care to ensure it reaches you just right!
Order ID: {{1}}
Estimated Delivery Date: {{2}}
Items: {{3}}
Click the button below to to track your order",Utility
"Delivery Successful!
Items in you order has been delivered! We hope you love it.
Order ID: {{1}}
Items : {{2}}",Utility
"Delivered - Installation Update !
A technician will visit in {{1}} hrs for installation. We'll notify you with the technician details.
Order ID: {{2}}
items: {{3}}",Utility
"Failed Delivery Attempt
We tried delivering your order today but couldn't complete it. We will attempt again tomorrow.
We’re checking with the courier partner and will reschedule it shortly.
Order ID: {{1}}
Items: {{2}}
Courier Partner: {{3}}",Utility
"Installation Updates !
Your order is out for delivery today. Once the delivery is completed, installation will be scheduled within {{1}} hours. You'll receive an update with the installer’s details as soon as they are assigned.
Order ID: {{2}}
Items: {{3}} and {{4}} items",Utility
"Order Delayed
Due to unforeseen circumstances your order is delayed. Our team is working tirelessly to make sure your order reaches you on time. We appreciate your patience.
Order ID: {{1}}
Courier Partner: {{2}}",Utility
"Order Delayed
Due to unforeseen circumstances your order is delayed. Our team is working tirelessly to make sure your order reaches you on time. We appreciate your patience.
Order ID: {{1}}",Utility
"Order being processed!
Items in your order are now being processed. We’ll update you as soon as they are shipped.
Order ID: {{1}}
Estimated Delivery Date: {{2}}
If you have any queries, write to us at care@thesleepcompany.in",Utility
"Order on Hold
Items in your order is currently on hold. We'll notify you with the new Delivery Date as soon as it resumes processing.
Order ID: {{1}}
Items: {{2}}
If you have any queries, write to us at care@thesleepcompany.in",Utility
"{{1}} Requested
We've received your [ReturnReplacement] request Your request is under approval process.
Our Sleep Expert will contact you within 24 hours to confirm and guide you through the next steps.
Order ID: {{2}}
Item: {{3}}",Utility
"Your request for {{1}} is Rejected
Hello {{2}},
We’re sorry to inform you that your {{3}} request has been rejected.
Item: {{4}}
Reason: {{5}}
If you have any queries, write to us at care@thesleepcompany.in
Regards,
Team The Sleep Company",Utility
"Your {{1}} request is placed
We've received your {{2}} request.
Your request is under approval process. Our Sleep Expert will contact you within 24 hours to confirm and guide you through the next steps.
Order ID: {{3}}
Item: {{4}}
Click the button below to track your order",Utility
"Out for Pick-Up
Your pickup is scheduled today. Please keep the product ready.
Order ID: {{1}}
Item: {{2}}",Utility
"Hello Customer,
This is a service message regarding your recent purchase from The Sleep Company.
If you would like to share feedback about the product, you may submit a review using the link below: https:www.amazon.inreviewreview-your-purchases
Alternatively, you can access:
Amazon App → Your Orders → Select the product → Submit your review.
If you require support with your review submission or need to share confirmation for internal processing, you may send us the screenshot.",Marketing
"Thank you for your recent purchase!
We hope you’re enjoying your comfort upgrade ✨
We’d love to hear your experience.
Share your product review and receive an exclusive coupon for your next purchase 🎁",Marketing
"Hello Customer,
This is a service message regarding your recent purchase from The Sleep Company.
If you would like to share feedback about the product, you may submit a review using the link below: https:www.amazon.inreviewreview-your-purchases",Marketing
"Hello Customer,
This is a service message regarding your recent purchase from The Sleep Company.
You can access:
Amazon App → Your Orders → Select the product → Submit your review.",Marketing
"Hi there! 👋
Hope you're loving your Sleep Company product. When you have a moment, please share your 5 star ⭐ review it helps us grow and lets others know about your experience.
👉https:www.amazon.inreviewreview-your-purchases
Or simply go to your Amazon App → Your Orders → find our product → leave a review, and send us a screenshot to claim your coupon reward!
Warm regards,
The Sleep Company Team",Marketing
"Hey! 😊
Just a quick reminder to drop your 5 star ⭐ review for your Sleep Company product. Your feedback means the world to us and helps us make our products even better!
👉 https:www.amazon.inreviewreview-your-purchases
You can also review directly via the Amazon App (Your Orders page). Once done, share a screenshot to receive your coupon reward.
Thanks a bunch,
The Sleep Company Team",Marketing
"Hi! We hope you’re enjoying your Sleep Company purchase. We’d love to hear what you think! Please take a minute to leave a quick 5 star ⭐ review.
👉 https:www.amazon.inreviewreview-your-purchases
Alternatively, open your Amazon App → Your Orders → select the product → post your review, and share a screenshot with us to get your reward.
Warm wishes,
The Sleep Company Team",Marketing
"🎉 Mega Mattress Sale is Live on Amazon 🎉
😍Get up to 45% Off on SmartGRID Mattress
Hurry up 🏃🏻
Great Offers won't last long!
Load your cart fast 🛒
Offer Valid for 3 Days only (26-28 Aug)",Marketing
"Hi {{1}}! Your {{2}} for Order ID: {{3}} has been successfully completed by our Comfort Technician {{4}}. We would love to hear about your experience! 💙
Please take a moment to rate our service",Marketing
"⭐ Review Request
Hello {{1}},
We kindly request you to rate your recent purchase from The Sleep Company with a 5-star review.
Your valuable feedback helps us enhance our service experience.
How to submit your review:
1️⃣ Click here → https:www.amazon.inreviewreview-your-purchases
2️⃣ Or open the Amazon app → Your Orders → select your product → add your review.
Once done, please share a screenshot of your review to receive your coupon reward.
Thank you for taking the time to share your experience. 💙",Marketing
"We hope you are enjoying your product.
Please take a moment to review us on amazon.
Your review will help us improve.",Marketing
"Hello Customer,
This is a service message regarding your recent purchase from The Sleep Company.
If you would like to share feedback about the product, you may submit a review using the link below {{1}}
Alternatively, you can access:
Amazon App → Your Orders → Select the product → Submit your review.
If you require support with your review submission or need to share confirmation for internal processing, you may send us the screenshot.",Marketing
"Hello Customer,
This is a service message regarding your recent purchase from The Sleep Company.
If you would like to share feedback about the product, you may submit a review using the link below: {{1}}
Alternatively, you can access:
Amazon App → Your Orders → Select the product → Submit your review.",Marketing
"Hello Customer,
This is a service message regarding your recent purchase from The Sleep Company.
You can access:
Amazon App → Your Orders → Select the product → Submit your review.",Marketing
"Rejected: Hi BD, status of your {{1}} is rejected, because {{2}} resubmit below documents {{3}} Resubmit the form with all the above mentioned documents",Utility
"Hi BD, Vendor code for {{1}} is {{2}}
Thank you for choosing the Sleep Company",Utility
Approved: The status of your {{1}} is approved.,Utility
"Dear Partner,
Thank you for placing your trust in us and referring your client to The Sleep Company. We take utmost care in ensuring that our products are of the best quality, and we hope your clients are thoroughly satisfied.
Your loyalty reward of Rs. {{1}} is in process, for the order (s) {{2}}. We will send the UTRN on or before 20th August 2025. We look forward to continue serving you to the best of our abilities in the future as well.",Utility
"Hi admin, form for architect {{1}} has been submitted.
Please check your portal and verify the documents immediately.",Utility
"Hi admin, form for architect {{1}} has been resubmitted after your initial verification.
Please check your portal and verify the details immediately.",Utility
"Arriving Today! Your order is out for delivery today. Please keep your phone handy and ensure someone is available to receive it.
Our delivery partner may get in touch with you to ensure a smooth delivery experience.
Order ID: {{1}}
Items: {{2}}
Courier Partner: {{3}}
Click the button below to track your order.",Utility
"Arriving Today!
Your order is out for delivery today. Please keep your phone handy and ensure someone is available to receive it.
Our delivery partner may get in touch with you to ensure a smooth delivery experience.
Order ID: {{1}}
Items: {{2}}
Courier Partner: {{3}}",Utility
"Welcome to The Sleep Company😊
Thank you for reaching out to us.
Kindly note this is an automated system-generated message. So, for any support & queries please reach us through Call, WhatsApp, or write us an email at care@thesleepcompany.in.
Happy & Healthy Sleep😇",Marketing
"Arriving Today! Your order is out for delivery today. Please keep your phone handy and ensure someone is available to receive it.
Our delivery partner may get in touch with you to ensure a smooth delivery experience.
Order ID: {{1}}
Items: {{2}} and {{3}} items
Courier Partner: {{4}}",Utility
"⚠️Order Rescheduled
Due to bad weather conditions, your The Sleep Company order will now be delivered tomorrow. Sorry for the inconvenience. Order ID: {{1}}
Stay safe!💙",Utility
"👋 Hey {{1}}!
😊 Thank you for visiting The Sleep Company. We've saved the comfort tech item, {{2}}, you added to your cart.🛒
Complete your purchase of ₹ {{3}} when you’re ready {{4}}
🤔 Did You Know? SmartGRID is The Sleep Company’s unique and patented grid structure used in mattresses, pillows, and now also in chairs and cushions, designed with a hyper-elastic polymer that allows the grid walls to bend down on body curvatures like the hips and shoulders ensuring that there is no pressure placed on any part of your body while also providing enough cradling and cushioning? SmartGRID is engineered to be both soft and supportive and we’re quite proud of it! 😊
RETURN TO MY CART: {{5}}",Marketing
"👋 Hey {{1}}!
🧐 Are you sure you want to leave the comfort behind? Your cart item {{2}} at ₹ {{3}} only is selling out fast!⏳
Complete your purchase soon. {{4}}
🤔 Did You Know? We offer a warranty of anything between 1-Year to 10-Years, depending on what products you buy. Your purchase is secured. 😊
COMPLETE MY PURCHASE: {{5}}",Marketing
"👋 Hey {{1}}!
🤯Are you still considering your comfort while sleeping or living? Avail a limited-period 5% discount on your in-cart item {{2}} For 24 hrs only! ⏳ 😍 Coupon Code: MINE5 Complete your purchase now!
WHAT THEY SAY 😊
“Buying mattresses, beds, pillows, chairs or other comfort accessories was a mundane task for me until I started experiencing back pains. I went to the doctor and he suggested upgrading my pillows, mattresses and my desk chair or else I would risk making it worse. The Sleep Company was suggested by a close friend. The SmartGRID technology in particular. I’m impressed with their quality and technology. My back pain reduced over time since I started using my new comfort accessories from them too. I recommend The Sleep Company to everybody!” - Ankur, Verified Customer
RETURN TO MY CART: {{3}}",Marketing
"👋 Hey {{1}}! If you’ve made up your mind to 😊 Sleep Better and Live Comfortably, we're still here.
Complete your purchase now before the cart expires, shortly! {{2}}
Here’s your cart list! 🛒
{{3}} of ₹ {{4}}
WHAT THEY SAY 😊
“What awesome mattresses, pillows, and more! I was hesitant at first. I called up their customer support team and they answered all my doubts with absolute patience. After talking to them, I was convinced I can try. They also said I can return it if I don’t feel satisfied with what I bought. However, after placing the order, it arrived at my home on the specified date. I used the mattress and pillows for 2 weeks and in that phase, my body started feeling relaxed. Forget returning! I am buying these pillows and mattresses for the whole family now!” - Angshi, Verified Customer
COMPLETE MY PURCHASE: {{5}}",Marketing
"Namaskara! 🙏
Your shopping cart is calling you. 🤙
Comfort has a new way of calling and we just made it easier for you. Dive deep into Relaxation Mode 😎 with our innovative range of products. Enjoy exciting benefits like:
✅ 100 Nights Free Trial
✅ 10 Years Warranty
✅ Free Shipping & Returns
✅ No Cost EMI
Complete your purchase online: {{1}}
Or Visit our nearest experience store in Bengaluru: {{2}}",Marketing
"Hey,
Thanks for reaching out to The Sleep Company for our {{1}} brochure
You can download it here: {{2}}
If you have any questions, feel free to contact us at {{3}}.
The Sleep Company.",Utility
"Cancelled Delivery
Your delivery has been cancelled by the courier partner. If this wasn't intended, contact us immediately.
Order ID: {{1}}
Items: {{2}}
If you have any queries, write to us at care@thesleepcompany.in",Utility
"Hi {{1}}! Thank you for visiting The Sleep Company.
We've saved the comfort tech item, {{2}}, you added to your cart. Complete your purchase of ₹ {{3}} when you’re ready {{4}}
If you have any questions or need any help, don't hesitate to contact our support team! WhatsApp us at +91 90821 81189.
Did You Know? SmartGRID is The Sleep Company’s unique and patented grid structure used in mattresses, pillows, and now also in chairs and cushions, designed with a hyper-elastic polymer that allows the grid walls to bend down on body curvatures like the hips and shoulders ensuring that there is no pressure placed on any part of your body while also providing enough cradling and cushioning? SmartGRID is engineered to be both soft and supportive and we’re quite proud of it! 😊
Return To My Cart: {{5}}",Marketing
"Hi {{1}}! Are you sure you want to leave the comfort behind?
Your cart item {{2}} at ₹ {{3}} only is selling out fast! Complete your purchase soon. {{4}}
If you have any questions or need any help, don't hesitate to contact our support team! WhatsApp us at +91 90821 81189.
🤔 Did You Know? We offer a warranty of anything between 1-Year to 10-Years, depending on what products you buy. Your purchase is secured.
Complete My Purchase: {{5}}",Marketing
"Hi {{1}}! Are you still considering your comfort while sleeping or living?
Avail a limited-period 5% discount on your in-cart item {{2}} For 24 hrs only! Coupon Code: {{3}} Complete your purchase now!
If you have any questions or need any help, don't hesitate to contact our support team! WhatsApp us at +91 90821 81189
WHAT THEY SAY 😊
“Buying mattresses, beds, pillows, chairs or other comfort accessories was a mundane task for me until I started experiencing back pains. I went to the doctor and he suggested upgrading my pillows, mattresses, and my desk chair, or else I would risk making it worse. The Sleep Company was suggested by a close friend. The SmartGRID technology in particular. I’m impressed with their quality and technology. My back pain reduced over time since I started using my new comfort accessories from them too. I recommend The Sleep Company to everybody!” - Ankur, Verified Customer
Return To My Cart: {{4}}",Marketing
"Hi {{1}}! If you’ve made up your mind to sleep better and live comfortably, we're still here.
Complete your purchase now before the cart expires, shortly! {{2}}
Here’s your cart list!
{{3}} of ₹ {{4}}
If you have any questions or need any help, don't hesitate to contact our support team! WhatsApp us at +91 90821 81189.
WHAT THEY SAY 😊
“What awesome mattresses, pillows, and more! I was hesitant at first. I called up their customer support team and they answered all my doubts with absolute patience. After talking to them, I was convinced I can try. They also said I can return it if I don’t feel satisfied with what I bought. However, after placing the order, it arrived at my home on the specified date. I used the mattress and pillows for 2 weeks and in that phase, my body started feeling relaxed. Forget returning! I am buying these pillows and mattresses for the whole family now!” - Angshi, Verified Customer
Complete My Purchase: {{5}}",Marketing
"Hey,
Thanks for reaching out to The Sleep Company for our brochure on {{1}}.
You can download it here: {{2}}
If you have any questions, feel free to contact us at +91-7304586276.",Utility
"Hi {{1}}, we're following up to check if you need any further assistance. Please let us know.",Marketing
"Vanakkam! 🙏
🤗 We have saved your items for you!
While you were away, we made sure you did not miss out the best. 😇 Explore our innovative range of products and feel what true comfort feels like. Enjoy exciting benefits like:
✅ 100 Nights Free Trial
✅ 10 Years Warranty
✅ Free Shipping & Returns
✅ No Cost EMI
Complete your purchase online: {{1}}
Or Visit our nearest experience store in Chennai: {{2}}",Marketing
"Hi! Thank you for contacting The Sleep Company.
Here are the details of the store near you:
🏬 Store Name : The Sleep Company Experience Store – Chikalthana Sambhaji Nagar
📍 Address : First Floor, API Compound, Prozone Mall, Chhatrapati Sambhajinagar, F30 & F31, P-80, MIDC, Chikalthana, Maharashtra 431006
📞 Phone : +91 91364 83498
🗺 Google Maps : https:maps.app.goo.glJQnzV5MLnsUtW6eK8
🕒 Timings : 11:00 AM – 9:00 PM",Marketing
"Hi {{1}},
Your order has been received and is being processed.
Items: {{2}}
Expected delivery date: {{3}}
Updates will be provided as the order status changes.
Order details and tracking information are available at the link below.",Utility
"Dear Customer,
We attempted to reach you at {{1}} multiple times but were unable to connect.
We have initiated the cancellation process for your order. To confirm or continue with the order, please contact us at +91 98119 81911.
Order Details: {{2}}
For any support, you can also write to us at care@thesleepcompany.in",Utility
"Dear Test,
We have received your COD order {{1}} from The Sleep Company.
Order Details
{{2}}
Total: {{3}}
Order Placed Date: {{4}}
Please confirm your order to ensure smooth delivery.",Utility
"Hi your COD order {{1}} from The Sleep Company is ready to ship. Please confirm your order to ensure smooth delivery.
🛍 Order Details
{{2}}
Total: {{3}}
Order Placed Date: {{4}}",Marketing
"Dear Customer,
We have received your COD order {{1}} from The Sleep Company.
Order Details
{{2}}
Total: {{3}}
Order Placed Date: {{4}}
Please confirm your order to ensure smooth delivery.",Utility
"Hi, your COD order {{1}} from The Sleep Company is ready to ship. Please confirm your order to ensure smooth delivery.
🛍 Order Details
{{2}}
Total: {{3}}
Order Placed Date: {{4}}",Marketing
"Hi, {{1}} is your order. Do you want to confirm",Utility
"Hi your COD order {{1}} from The Sleep Company is ready to ship. Please confirm your order to ensure smooth delivery.
🛍 Order Details
{{2}}
Total: {{3}}
Order Placed Date: {{4}}",Utility
"Hi {{1}}, your COD order {{2}} from The Sleep Company is ready to ship. Please confirm your order to ensure smooth delivery.
🛍 Order Details
{{3}}
Total: {{4}}
Order Placed Date: {{5}}",Utility
"Vanakkam! 🙏
🤩 You know you want it and we want you to have it too. So stop contemplating and just go for it, because it truly belongs to be at your home. 😇 Discover the ultimate comfort and luxury through our innovative products. Enjoy exciting benefits like:
✅ 100 Nights Free Trial
✅ 10 Years Warranty
✅ Free Shipping & Returns
✅ No Cost EMI
Complete your purchase online: {{1}}
Or Visit our nearest experience store in Coimbatore: {{2}}",Marketing
"Hi {{1}},
Your item has been arranged and will be delivered to you.
Items: {{2}}
Expected delivery date: {{3}}
Updates will be provided as the order status changes.
Order details and tracking information are available at the link below.",Utility
"Hi {{1}}, This is a follow-up regarding your recent conversation. Please let us know if you still require assistance or if we should close the request.",Utility
"Hi {{1}},
As requested following is the link to track the status of your order Track status: https:thesleepcompany.inpagesorderlisting
Feel free to respond here if you prefer continuing the conversation on WhatsApp.",Utility
"Hey,
{{1}} {{2}}
As requested, here is your {{3}}: {{4}}
Got questions? Reach us at +91-7304586276.",Utility
"Hi, thank you for requesting the bulk order brochure for your {{1}} from The Sleep Company.
You can download the brochure here: {{2}}
For any queries or further assistance, please contact us at ‪+91 7304586276.",Utility
"Unhealthy sleeping eventually leads to poor immunity & high BP. You’ve already taken a step towards sleeping better with The Sleep Company’s mattress. Now make it relaxing for your head & neck too. 😇
Depending on your needs, choose from the following at {{1}}
👉🏼 Smart Hybrid Pillow – SmartGRID technology for coolness combined with soft hypoallergenic material 👉🏼 Smart Cervical Pillow – Stress-relieving orthopedic shape with SmartGRID technology 👉🏼 Adjustable Plush Pillow – Easy zip-unzip function to adjust pillow thickness
🌟 Pro Tip: Keep the devices that emit blue light out of reach, at least 2 hrs before bedtime to manage healthy secretion of melatonin, the sleep hormone. Pair this habit with The Sleep Company’s zero-gravity beds, comfy mattresses & pillows for a deep stress-free sleep. Happy Sleeping! 🌌
SHOP NOW: {{2}}",Marketing
"Bothered by a stiff neck or shoulder pain, every now and then? At The Sleep Company, we are on a mission to minimise muscle discomfort & spread deep sleeping & healthy living with the best- patented technologies in India.
You're already experiencing the magic of our mattresses.
✨Pass it on to your neck & shoulders by adding more comfort in form of zero-gravity beds, ortho pillows, chairs & attachable cushions made to support your muscles. We promise you:
👉🏼 Flexible, adjustable accessories
👉🏼 Stress relief
👉🏼 Unique & best-in-class materials
👉🏼 Durability & Luxury
🌟 Pro Tip: Pay attention to everything to make everyday relaxed & pain-free. Posture, furniture, stretching, strength training, bedtime routine, choice of pillow-bed-blanket & meditative activities that suit you. Happy Sleeping! 🌌
SHOP NOW: {{1}}",Marketing
"🤔 Still, upgrading your bedroom? Here’s your Good Sleep Checklist.
✅A comfy bed
✅A pain-relieving mattress
❓Soft sheets & pillow covers
❓A cosy comforter
❓A mattress protector
Shop for soft, hypoallergenic, eco-friendly bamboo-fibre bedding from The Sleep Company and get a good night's sleep. Order Now and sleep soundly knowing you're making a positive impact on the environment. {{1}}",Marketing
"Hi {{1}}! Your installation for Order ID: {{2}} has been successfully completed by our Comfort Technician {{3}}. If you need any further assistance please feel free to reach out to us at care@thesleepcompany.in
We would love to hear about your experience! 💙
Please take a moment to rate our service or share your feedback by clicking the link below:",Utility
"Hi {{1}}! Your {{2}} for Order ID: {{3}} has been successfully completed by our Comfort Technician {{4}}. We would love to hear about your experience! 💙
Please take a moment to rate our service",Utility
"Hi {{1}},
As requested, here is your new reference {{2}} to confirm your reschedule on {{3}}.",Marketing
"Hi {{1}}! We're sorry to hear that you've decided to reject the installation of your Order {{2}}. If you need any assistance, feel free to contact us at: +91-9811981911",Utility
"TSC Custom Discount approval request
Requesting Store Name: {{1}}
Requesting Staff Name: {{2}}
Requesting Staff ID: {{3}}
Customer No: {{4}}
Quotation No: {{5}}
Order Value: {{6}}
Promotion Coupon: {{7}}
Campaign Coupon: {{8}}
Order value after discount : {{9}}
Requested Discount amount: {{10}}
Additional Discount Percent : {{11}}
{{12}} : {{13}}",Utility
"Hi, Your sleep company order is confirmed and scheduled for delivery.
Order id : {{1}}
Delivery Date: {{2}}
Product(s): {{3}}
Please confirm your availability to receive the order.",Marketing
"Your order with The Sleep Company has been confirmed and scheduled for delivery.
Order ID: {{1}}
Delivery Date: {{2}}
Product(s): {{3}}
Please confirm your availability to receive the delivery.",Utility
"Delivery Delayed
Dear Customer,
Due to unforeseen circumstances there is a delay in the delivery of some items in your order We sincerely apologize for the inconvenience and truly appreciate your patience 💙
Order ID: {{1}}
Items: {{2}}
Revised Estimated Delivery Date: {{3}} - {{4}}
Our team is working diligently to ensure you have the best experience.
If you have any questions, feel free to contact us at care@thesleepcompany.i",Utility
"Dear {{1}},
Due to unforeseen circumstances there is a delay in the delivery of your order {{2}}
The revised estimated delivery date is {{3}} - {{4}}.
We sincerely apologize for the inconvenience and truly appreciate your patience 💙
Our team is working diligently to ensure you have the best experience.
If you have any questions, feel free to contact us at care@thesleepcompany.in.",Utility
"Namaste! 🙏
We just noticed you abandoning your cart and while you did so you are also abandoning the comfort of good sleep. 🥱
🤩 Discover the ultimate comfort and luxury through our innovative products. Enjoy exciting benefits like:
✅ 100 Nights Free Trial
✅ 10 Years Warranty
✅ Free Shipping & Returns
✅ No Cost EMI
Complete your purchase online: {{1}}
Or Visit our nearest experience store in Delhi: {{2}}",Marketing
"Dear Customer,
Your order {{1}} is is currently delayed. Our team is working diligently to resolve this and ensure your order reaches you soon. We appreciate your patience and understanding.
Click on the button below to track your order.",Utility
"Hi {{1}}!
Our partner Technician {{2}} visited to {{3}} your order {{4}}. Your replacement request has been confirmed.
We'll arrange for installation once the replacement is delivered.
Thank you for your patience 💙 Our team is working diligently to ensure you have the best experience.
If you have any questions, feel free to contact us at care@thesleepcompany.in.",Utility
"Our Technician {{1}} (Phn: {{2}} ) has been assigned to {{3}} your order {{4}}.
He will contact you to confirm the appointment, and will be completed in the next {{5}} hours.
Please make sure to be available at the location during the installation.
For further assistance please reach out to us at care@thesleepcompany.in",Utility
"Hi {{1}}! The {{2}} appointment for your order {{3}} has been confirmed with our Technician {{4}} Please make sure to be available at the time for the installation.
For queries feel free to reach out to us at care@thesleepcompany.in",Utility
"Hi {{1}},
{{2}} for order {{3}} has been rescheduled to {{4}}.
Please ensure your availability on this date.
We will get in touch with you on the scheduled day to provide the details of the comfort technician.
If you have any queries, feel free to contact us at care@thesleepcompany.in",Utility
